Fixture ID,Date,Referee,Venue,City,Home Team,Away Team,Home Team Goals,Away Team Goals,Result,Home Shots on Goal,Home Shots off Goal,Home Total Shots,Home Blocked Shots,Home Shots insidebox,Home Shots outsidebox,Home Fouls,Home Corner Kicks,Home Offsides,Home Ball Possession,Home Yellow Cards,Home Red Cards,Home Goalkeeper Saves,Home Total passes,Home Passes accurate,Home Passes %,Away Shots on Goal,Away Shots off Goal,Away Total Shots,Away Blocked Shots,Away Shots insidebox,Away Shots outsidebox,Away Fouls,Away Corner Kicks,Away Offsides,Away Ball Possession,Away Yellow Cards,Away Red Cards,Away Goalkeeper Saves,Away Total passes,Away Passes accurate,Away Passes %,Home expected_goals,Away expected_goals,Home_Points,Home_Goals_Scored,Home_Goals_Conceded,Home_Wins,Home_Draws,Home_Losses,Home_Form_Score,Away_Points,Away_Goals_Scored,Away_Goals_Conceded,Away_Wins,Away_Draws,Away_Losses,Away_Form_Score
710602,2021-09-18 14:00:00+00:00,R. Jones,Carrow Road,"Norwich, Norfolk",Norwich,Watford,1,3,Away Win,5,3,12,4,7,5,10,4,1,49%,1,0,5,375,304,81%,8,3,12,1,11,1,14,8,0,51%,1,0,4,396,313,79%,0,0,0.0,1.25,13.75,0.0,0.0,5.0,-6.25,3.75,3.75,8.75,1.25,0.0,3.75,1.25
710596,2021-09-18 16:30:00+00:00,C. Pawson,Villa Park,Birmingham,Aston Villa,Everton,3,0,Home Win,3,6,15,6,7,8,7,5,0,56%,1,0,1,384,308,80%,1,5,11,5,8,3,10,4,2,44%,1,0,1,310,228,74%,0,0,5.0,6.25,8.75,1.25,1.25,2.5,3.75,12.5,12.5,5.0,3.75,1.25,0.0,16.25
710604,2021-09-19 13:00:00+00:00,M. Atkinson,London Stadium,London,West Ham,Manchester United,1,2,Away Win,4,5,13,4,6,7,5,2,2,40%,0,0,8,417,348,83%,10,4,17,3,12,5,8,11,0,60%,0,0,3,624,562,90%,0,0,10.0,12.5,6.25,2.5,2.5,0.0,13.125,12.5,13.75,3.75,3.75,1.25,0.0,17.5
710597,2021-09-19 13:00:00+00:00,S. Attwell,The American Express Community Stadium,"Falmer, East Sussex",Brighton,Leicester,2,1,Home Win,5,4,12,3,9,3,8,4,3,37%,2,0,2,322,245,76%,3,5,14,6,7,7,10,9,2,63%,1,0,3,549,471,86%,0,0,11.25,6.25,3.75,3.75,0.0,1.25,12.5,7.5,5.0,7.5,2.5,0.0,2.5,6.25
710603,2021-09-19 15:30:00+00:00,P. Tierney,Tottenham Hotspur Stadium,London,Tottenham,Chelsea,0,3,Away Win,2,4,8,2,3,5,4,5,0,47%,0,0,6,480,395,82%,10,3,20,7,17,3,15,11,1,53%,1,0,2,525,457,87%,0,0,11.25,3.75,3.75,3.75,0.0,1.25,11.25,12.5,11.25,1.25,3.75,1.25,0.0,17.5
710613,2021-09-25 11:30:00+00:00,M. Dean,Old Trafford,Manchester,Manchester United,Aston Villa,0,1,Away Win,4,11,28,13,17,11,9,5,2,60%,2,0,2,409,313,77%,3,3,7,1,4,3,13,5,3,40%,2,0,4,271,187,69%,0,0,13.0,13.0,4.0,4.0,1.0,0.0,17.5,7.0,8.0,7.0,2.0,1.0,2.0,7.5
710608,2021-09-25 11:30:00+00:00,M. Oliver,Stamford Bridge,London,Chelsea,Manchester City,0,1,Away Win,0,1,5,4,2,3,12,4,3,41%,3,0,2,413,341,83%,4,5,15,6,11,4,10,13,4,59%,2,0,0,599,528,88%,0,0,13.0,12.0,1.0,4.0,1.0,0.0,18.5,10.0,11.0,1.0,3.0,1.0,1.0,15.0
710615,2021-09-25 14:00:00+00:00,J. Gillett,Vicarage Road,Watford,Watford,Newcastle,1,1,Draw,4,6,15,5,7,8,19,5,1,52%,4,0,5,364,280,77%,6,8,20,6,10,10,12,6,1,48%,3,0,3,335,256,76%,0,0,6.0,6.0,8.0,2.0,0.0,3.0,5.0,2.0,6.0,13.0,0.0,2.0,3.0,-1.5
710610,2021-09-25 14:00:00+00:00,D. Coote,Goodison Park,Liverpool,Everton,Norwich,2,0,Home Win,4,3,11,4,7,4,12,6,1,47%,2,0,2,420,345,82%,2,5,10,3,4,6,9,4,0,53%,3,0,2,487,406,83%,0,0,10.0,10.0,7.0,3.0,1.0,1.0,11.5,0.0,2.0,14.0,0.0,0.0,5.0,-6.0
710612,2021-09-25 14:00:00+00:00,C. Kavanagh,King Power Stadium,"Leicester, Leicestershire",Leicester,Burnley,2,2,Draw,5,6,22,11,14,8,10,8,1,67%,2,0,2,576,482,84%,3,4,9,2,4,5,8,3,4,33%,4,0,2,286,193,67%,0,0,6.0,5.0,8.0,2.0,0.0,3.0,4.5,1.0,3.0,9.0,0.0,1.0,4.0,-2.0
710611,2021-09-25 14:00:00+00:00,K. Friend,Elland Road,"Leeds, West Yorkshire",Leeds,West Ham,1,2,Away Win,5,4,15,6,6,9,10,5,2,54%,3,0,5,414,336,81%,7,9,20,4,11,9,6,7,0,46%,2,0,4,348,273,78%,0,0,3.0,5.0,12.0,0.0,3.0,2.0,-0.5,8.0,11.0,7.0,2.0,2.0,1.0,10.0
710607,2021-09-25 16:30:00+00:00,S. Attwell,Brentford Community Stadium,"Brentford, Middlesex",Brentford,Liverpool,3,3,Draw,4,6,12,2,10,2,8,2,4,33%,1,0,3,271,181,67%,6,6,16,4,9,7,7,11,4,67%,1,0,0,561,465,83%,0,0,8.0,5.0,2.0,2.0,2.0,1.0,9.5,13.0,12.0,1.0,4.0,1.0,0.0,18.5
710614,2021-09-26 13:00:00+00:00,A. Madley,St. Mary's Stadium,"Southampton, Hampshire",Southampton,Wolves,0,1,Away Win,6,5,18,7,8,10,12,5,3,57%,0,0,2,497,416,84%,3,0,5,2,5,0,8,5,1,43%,0,0,6,383,283,74%,0,0,4.0,4.0,6.0,0.0,4.0,1.0,3.0,3.0,2.0,5.0,1.0,0.0,4.0,1.5
710606,2021-09-26 15:30:00+00:00,C. Pawson,Emirates Stadium,London,Arsenal,Tottenham,3,1,Home Win,7,4,12,1,7,5,12,4,2,47%,2,0,3,431,357,83%,4,5,10,1,7,3,13,4,4,53%,1,0,4,485,413,85%,0,0,6.0,2.0,9.0,2.0,0.0,3.0,2.5,9.0,3.0,6.0,3.0,0.0,2.0,7.5
710609,2021-09-27 19:00:00+00:00,A. Marriner,Selhurst Park,London,Crystal Palace,Brighton,1,1,Draw,3,2,8,3,4,4,12,6,1,47%,2,0,3,497,413,83%,4,2,8,2,4,4,10,5,0,53%,5,0,2,565,466,82%,0,0,5.0,5.0,8.0,1.0,2.0,2.0,3.5,12.0,7.0,4.0,4.0,0.0,1.0,13.5
710622,2021-10-02 11:30:00+00:00,M. Oliver,Old Trafford,Manchester,Manchester United,Everton,1,1,Draw,6,6,13,1,9,4,10,10,2,72%,1,0,1,700,607,87%,2,6,12,4,10,2,9,1,2,28%,1,0,5,268,183,68%,0,0,10.0,8.0,4.0,3.0,1.0,1.0,12.0,10.0,9.0,6.0,3.0,1.0,1.0,11.5
