Fixture ID,Date,Referee,Venue,City,Home Team,Away Team,Home Team Goals,Away Team Goals,Result,Home Shots on Goal,Away Shots on Goal,Home Shots off Goal,Away Shots off Goal,Home Total Shots,Away Total Shots,Home Blocked Shots,Away Blocked Shots,Home Shots insidebox,Away Shots insidebox,Home Shots outsidebox,Away Shots outsidebox,Home Fouls,Away Fouls,Home Corner Kicks,Away Corner Kicks,Home Offsides,Away Offsides,Home Ball Possession,Away Ball Possession,Home Yellow Cards,Away Yellow Cards,Home Red Cards,Away Red Cards,Home Goalkeeper Saves,Away Goalkeeper Saves,Home Total passes,Away Total passes,Home Passes accurate,Away Passes accurate,Home Passes %,Away Passes %,Home expected_goals,Away expected_goals,Home_Points,Home_Goals_Scored,Home_Goals_Conceded,Home_Wins,Home_Draws,Home_Losses,Home_Form_Score,Away_Points,Away_Goals_Scored,Away_Goals_Conceded,Away_Wins,Away_Draws,Away_Losses,Away_Form_Score
194543,2010-09-11 14:00:00+00:00,,Craven Cottage (London),,Fulham,Wolves,2,1,Home Win,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,6.666666666666667,6.666666666666667,0.0,5.0,0.0,5.0,8.333333333333334,6.666666666666667,5.0,1.6666666666666667,3.3333333333333335,0.0,9.166666666666668
194542,2010-09-11 14:00:00+00:00,,"Etihad Stadium, Manchester (Manchester)",,Manchester City,Blackburn,1,1,Draw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.666666666666667,5.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,8.333333333333334,5.0,5.0,6.666666666666667,1.6666666666666667,0.0,3.3333333333333335,4.166666666666667
194545,2010-09-12 15:00:00+00:00,,St. Andrew's Stadium (Birmingham),,Birmingham,Liverpool,0,0,Draw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.333333333333334,10.0,8.333333333333334,1.6666666666666667,3.3333333333333335,0.0,9.166666666666668,6.666666666666667,3.3333333333333335,6.666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,5.0
194546,2010-09-13 19:00:00+00:00,,Britannia Stadium (Stoke-on-Trent),,Stoke City,Aston Villa,2,1,Home Win,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.3333333333333335,10.0,0.0,0.0,5.0,-3.3333333333333335,10.0,6.666666666666667,10.0,3.3333333333333335,0.0,1.6666666666666667,8.333333333333334
194527,2010-09-18 11:45:00+00:00,,Britannia Stadium (Stoke-on-Trent),,Stoke City,West Ham,1,1,Draw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75,5.0,8.75,1.25,0.0,3.75,1.875,0.0,2.5,15.0,0.0,0.0,5.0,-6.25
194532,2010-09-18 14:00:00+00:00,,Villa Park (Birmingham),,Aston Villa,Bolton,1,1,Draw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,6.25,10.0,2.5,0.0,2.5,5.625,6.25,7.5,8.75,1.25,2.5,1.25,5.625
194528,2010-09-18 14:00:00+00:00,,"The Hawthorns, West Bromwich (West Bromwich)",,West Brom,Birmingham,3,1,Home Win,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,2.5,10.0,1.25,1.25,2.5,1.25,7.5,7.5,6.25,1.25,3.75,0.0,8.125
194529,2010-09-18 14:00:00+00:00,,White Hart Lane (London),,Tottenham,Wolves,3,1,Home Win,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,3.75,3.75,1.25,2.5,1.25,6.25,6.25,6.25,6.25,1.25,2.5,1.25,6.25
194530,2010-09-18 14:00:00+00:00,,Goodison Park (Liverpool),,Everton,Newcastle,0,1,Away Win,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,5.0,7.5,0.0,2.5,2.5,1.25,5.0,8.75,7.5,1.25,1.25,2.5,5.625
194531,2010-09-18 14:00:00+00:00,,Ewood Park (Blackburn),,Blackburn,Fulham,1,1,Draw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,5.0,6.25,1.25,1.25,2.5,4.375,7.5,7.5,6.25,1.25,3.75,0.0,8.125
194533,2010-09-18 16:30:00+00:00,,Stadium of Light (Sunderland),,Sunderland,Arsenal,1,1,Draw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,5.0,5.0,1.25,2.5,1.25,6.25,12.5,16.25,3.75,3.75,1.25,0.0,18.75
194534,2010-09-19 12:30:00+00:00,,Old Trafford (Manchester),,Manchester United,Liverpool,3,2,Home Win,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,13.75,6.25,2.5,2.5,0.0,13.75,6.25,2.5,5.0,1.25,2.5,1.25,5.0
194535,2010-09-19 14:00:00+00:00,,The DW Stadium (Wigan),,Wigan,Manchester City,0,2,Away Win,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,2.5,13.75,1.25,1.25,2.5,-0.625,6.25,5.0,2.5,1.25,2.5,1.25,7.5
194536,2010-09-19 15:00:00+00:00,,Stamford Bridge (London),,Chelsea,Blackpool,4,0,Home Win,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,21.25,1.25,5.0,0.0,0.0,25.0,8.75,10.0,10.0,2.5,1.25,1.25,8.75
194517,2010-09-25 11:45:00+00:00,,"Etihad Stadium, Manchester (Manchester)",,Manchester City,Chelsea,1,0,Home Win,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,6.0,2.0,2.0,2.0,1.0,10.0,15.0,21.0,1.0,5.0,0.0,0.0,25.0
194520,2010-09-25 14:00:00+00:00,,Craven Cottage (London),,Fulham,Everton,0,0,Draw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,7.0,6.0,1.0,4.0,0.0,7.5,2.0,4.0,7.0,0.0,2.0,3.0,0.5
194518,2010-09-25 14:00:00+00:00,,Boleyn Ground (London),,West Ham,Tottenham,1,0,Home Win,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,3.0,13.0,0.0,1.0,4.0,-4.0,8.0,6.0,4.0,2.0,2.0,1.0,9.0
194519,2010-09-25 14:00:00+00:00,,Anfield (Liverpool),,Liverpool,Sunderland,2,2,Draw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,4.0,7.0,1.0,2.0,2.0,3.5,6.0,5.0,5.0,1.0,3.0,1.0,6.0
194522,2010-09-25 14:00:00+00:00,,St. Andrew's Stadium (Birmingham),,Birmingham,Wigan,0,0,Draw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,7.0,8.0,1.0,3.0,1.0,5.5,4.0,2.0,13.0,1.0,1.0,3.0,-1.5
194521,2010-09-25 14:00:00+00:00,,Bloomfield Road (Blackpool),,Blackpool,Blackburn,1,2,Away Win,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,8.0,12.0,2.0,1.0,2.0,5.0,5.0,5.0,6.0,1.0,2.0,2.0,4.5
194523,2010-09-25 14:00:00+00:00,,Emirates Stadium (London),,Arsenal,West Brom,2,3,Away Win,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,14.0,4.0,3.0,2.0,0.0,16.0,7.0,5.0,9.0,2.0,1.0,2.0,5.0
194524,2010-09-26 11:00:00+00:00,,Reebok Stadium (Bolton),,Bolton,Manchester United,2,2,Draw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,7.0,8.0,1.0,3.0,1.0,5.5,11.0,14.0,7.0,3.0,2.0,0.0,14.5
194525,2010-09-26 13:05:00+00:00,,"Molineux Stadium (Wolverhampton, West Midlands)",,Wolves,Aston Villa,1,2,Away Win,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,6.0,8.0,1.0,2.0,2.0,4.0,7.0,6.0,9.0,2.0,1.0,2.0,5.5
194526,2010-09-26 15:10:00+00:00,,Sports Direct Arena (Newcastle-upon-Tyne),,Newcastle,Stoke City,1,2,Away Win,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,8.0,6.0,2.0,1.0,2.0,8.0,4.0,5.0,8.0,1.0,1.0,3.0,2.5
194507,2010-10-02 11:45:00+00:00,,The DW Stadium (Wigan),,Wigan,Wolves,2,0,Home Win,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,2.0,9.0,1.0,2.0,2.0,1.5,2.0,5.0,9.0,0.0,2.0,3.0,0.0
194511,2010-10-02 14:00:00+00:00,,Stadium of Light (Sunderland),,Sunderland,Manchester United,0,0,Draw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,5.0,5.0,1.0,3.0,1.0,6.0,9.0,13.0,9.0,2.0,3.0,0.0,11.0
194508,2010-10-02 14:00:00+00:00,,Boleyn Ground (London),,West Ham,Fulham,1,1,Draw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,10.0,1.0,1.0,3.0,1.0,7.0,7.0,6.0,1.0,4.0,0.0,7.5
194509,2010-10-02 14:00:00+00:00,,"The Hawthorns, West Bromwich (West Bromwich)",,West Brom,Bolton,1,1,Draw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,8.0,5.0,3.0,1.0,1.0,11.5,6.0,9.0,10.0,1.0,3.0,1.0,5.5
