Fixture ID,Date,Referee,Venue,City,Home Team,Away Team,Home Team Goals,Away Team Goals,Result,Home Shots on Goal,Home Shots off Goal,Home Total Shots,Home Blocked Shots,Home Shots insidebox,Home Shots outsidebox,Home Fouls,Home Corner Kicks,Home Offsides,Home Ball Possession,Home Yellow Cards,Home Red Cards,Home Goalkeeper Saves,Home Total passes,Home Passes accurate,Home Passes %,Home expected_goals,Away Shots on Goal,Away Shots off Goal,Away Total Shots,Away Blocked Shots,Away Shots insidebox,Away Shots outsidebox,Away Fouls,Away Corner Kicks,Away Offsides,Away Ball Possession,Away Yellow Cards,Away Red Cards,Away Goalkeeper Saves,Away Total passes,Away Passes accurate,Away Passes %,Away expected_goals,Home_Points,Home_Goals_Scored,Home_Goals_Conceded,Home_Wins,Home_Draws,Home_Losses,Home_Form_Score,Away_Points,Away_Goals_Scored,Away_Goals_Conceded,Away_Wins,Away_Draws,Away_Losses,Away_Form_Score
1035082,2023-09-16 16:30:00+00:00,C. Pawson,St. James' Park,Newcastle upon Tyne,Newcastle,Brentford,1,0,Home Win,2,5,9,2,5,4,8,8,0,56%,3,0,2,464,363,78%,1.44,2,4,11,5,8,3,12,3,1,44%,5,0,1,367,265,72%,0.5,3.75,8.75,8.75,1.25,0.0,3.75,3.75,7.5,10.0,6.25,1.25,3.75,0.0,9.375
1035077,2023-09-17 13:00:00+00:00,D. Coote,Vitality Stadium,"Bournemouth, Dorset",Bournemouth,Chelsea,0,0,Draw,4,3,13,6,9,4,15,1,1,35%,1,0,6,312,246,79%,1.04,6,6,14,2,9,5,20,7,2,65%,5,0,4,590,516,87%,1.85,2.5,5.0,10.0,0.0,2.5,2.5,0.0,5.0,6.25,6.25,1.25,1.25,2.5,5.0
1035079,2023-09-17 15:30:00+00:00,S. Hooper,Goodison Park,Liverpool,Everton,Arsenal,0,1,Away Win,1,3,8,4,4,4,12,1,1,26%,1,0,3,235,158,67%,0.34,4,3,13,6,9,4,10,11,4,74%,1,0,1,668,595,89%,1.02,1.25,2.5,10.0,0.0,1.25,3.75,-2.5,12.5,10.0,5.0,3.75,1.25,0.0,15.0
1035083,2023-09-18 18:45:00+00:00,R. Jones,The City Ground,"Nottingham, Nottinghamshire",Nottingham Forest,Burnley,1,1,Draw,4,5,14,5,6,8,16,5,2,46%,2,0,2,407,321,79%,0.71,3,4,10,3,5,5,10,4,2,54%,3,1,3,487,408,84%,0.55,7.5,7.5,7.5,2.5,0.0,2.5,7.5,0.0,5.0,18.333333333333336,0.0,0.0,5.0,-6.666666666666667
1035095,2023-09-23 14:00:00+00:00,A. Taylor,Etihad Stadium,Manchester,Manchester City,Nottingham Forest,2,0,Home Win,4,1,7,2,4,3,5,6,0,57%,3,1,3,570,509,89%,1.33,3,3,10,4,5,5,17,6,3,43%,7,0,2,414,354,86%,1.03,15.0,14.0,3.0,5.0,0.0,0.0,20.5,7.0,7.0,7.0,2.0,1.0,2.0,7.0
1035092,2023-09-23 14:00:00+00:00,P. Tierney,Selhurst Park,London,Crystal Palace,Fulham,0,0,Draw,3,2,7,2,4,3,10,3,3,51%,3,0,5,477,388,81%,0.3,5,3,10,2,5,5,15,2,1,49%,2,0,3,462,383,83%,0.59,7.0,6.0,7.0,2.0,1.0,2.0,6.5,7.0,5.0,10.0,2.0,1.0,2.0,4.5
1035094,2023-09-23 14:00:00+00:00,J. Smith,Kenilworth Road,"Luton, Bedfordshire",Luton,Wolves,1,1,Draw,4,7,20,9,15,5,12,10,1,56%,0,0,2,430,332,77%,2.17,3,0,3,0,3,0,17,1,1,44%,2,1,3,359,263,73%,0.59,0.0,2.5,12.5,0.0,0.0,5.0,-5.0,3.0,5.0,11.0,1.0,0.0,4.0,0.0
1035088,2023-09-23 16:30:00+00:00,M. Oliver,Gtech Community Stadium,"Brentford, Middlesex",Brentford,Everton,1,3,Away Win,2,6,12,4,8,4,9,1,3,57%,2,0,3,588,483,82%,1.03,6,11,18,1,12,6,12,4,1,43%,2,0,1,425,338,80%,1.9,6.0,8.0,6.0,1.0,3.0,1.0,7.0,1.0,2.0,9.0,0.0,1.0,4.0,-2.5
1035090,2023-09-23 19:00:00+00:00,T. Harrington,Turf Moor,Burnley,Burnley,Manchester United,0,1,Away Win,4,5,12,3,8,4,6,9,1,62%,1,0,3,647,572,88%,1.09,4,2,11,5,8,3,12,5,3,38%,2,0,4,402,321,80%,0.97,1.25,5.0,15.0,0.0,1.25,3.75,-3.75,6.0,6.0,10.0,2.0,0.0,3.0,4.0
1035093,2023-09-24 13:00:00+00:00,C. Kavanagh,Anfield,Liverpool,Liverpool,West Ham,3,1,Home Win,7,8,22,7,14,8,12,7,2,64%,0,0,3,645,572,89%,3.03,4,4,11,3,9,2,13,4,1,36%,2,0,4,356,279,78%,1.1,13.0,12.0,4.0,4.0,1.0,0.0,17.0,10.0,10.0,7.0,3.0,1.0,1.0,11.5
