Fixture ID,Date,Referee,Venue,City,Home Team,Away Team,Home Team Goals,Away Team Goals,Result,Home Shots on Goal,Home Shots off Goal,Home Total Shots,Home Blocked Shots,Home Shots insidebox,Home Shots outsidebox,Home Fouls,Home Corner Kicks,Home Offsides,Home Ball Possession,Home Yellow Cards,Home Red Cards,Home Goalkeeper Saves,Home Total passes,Home Passes accurate,Home Passes %,Away Shots on Goal,Away Shots off Goal,Away Total Shots,Away Blocked Shots,Away Shots insidebox,Away Shots outsidebox,Away Fouls,Away Corner Kicks,Away Offsides,Away Ball Possession,Away Yellow Cards,Away Red Cards,Away Goalkeeper Saves,Away Total passes,Away Passes accurate,Away Passes %,Home expected_goals,Away expected_goals
157063,2019-09-15T15:30:00+00:00,"Anthony Taylor, England",Vicarage Road,Watford,Watford,Arsenal,2,2,Draw,10,15,31,6,16,15,14,7,1,52%,3,0,2,499,442,89%,4,2,7,1,4,3,4,1,0,48%,3,0,8,466,386,83%,0,0
157056,2019-09-16T19:00:00+00:00,"Mike Dean, England",Villa Park,Birmingham,Aston Villa,West Ham,0,0,Draw,5,4,10,1,5,5,13,2,3,46%,2,0,1,408,329,81%,1,5,13,7,6,7,12,4,3,54%,3,1,5,470,391,83%,0,0
157073,2019-09-20T19:00:00+00:00,"Chris Kavanagh, England",St. Mary's Stadium,"Southampton, Hampshire",Southampton,Bournemouth,1,3,Away Win,6,11,25,8,13,12,8,4,1,64%,1,0,0,554,429,77%,3,1,6,2,3,3,9,5,2,36%,3,0,6,300,178,59%,0,0
157070,2019-09-21T11:30:00+00:00,"Paul Tierney, England",King Power Stadium,"Leicester, Leicestershire",Leicester,Tottenham,2,1,Home Win,7,6,16,3,10,6,16,8,3,44%,1,0,3,380,286,75%,4,6,11,1,9,2,13,2,3,56%,2,0,5,491,403,82%,0,0
157066,2019-09-21T14:00:00+00:00,"David Coote, England",Turf Moor,Burnley,Burnley,Norwich,2,0,Home Win,6,2,13,5,8,5,11,7,2,41%,0,0,2,357,272,76%,2,6,11,3,5,6,10,3,0,59%,1,0,4,528,437,83%,0,0
157069,2019-09-21T14:00:00+00:00,"Simon Hooper, England",Goodison Park,Liverpool,Everton,Sheffield Utd,0,2,Away Win,3,6,16,7,9,7,9,12,1,69%,1,0,0,520,433,83%,1,1,2,0,2,0,9,3,1,31%,3,0,3,227,144,63%,0,0
157071,2019-09-21T14:00:00+00:00,"Mike Dean, England",Etihad Stadium,Manchester,Manchester City,Watford,8,0,Home Win,11,13,28,4,20,8,5,5,2,68%,2,0,4,727,655,90%,4,0,5,1,4,1,9,4,2,32%,2,0,3,336,265,79%,0,0
157072,2019-09-21T16:30:00+00:00,"Martin Atkinson, England",St. James' Park,Newcastle upon Tyne,Newcastle,Brighton,0,0,Draw,4,5,11,2,7,4,12,5,0,28%,2,0,2,280,195,70%,3,6,16,7,9,7,8,3,3,72%,1,0,4,718,633,88%,0,0
157074,2019-09-22T13:00:00+00:00,"Anthony Taylor, England",London Stadium,London,West Ham,Manchester United,2,0,Home Win,6,1,8,1,3,5,8,3,2,46%,2,0,3,424,332,78%,3,2,9,4,5,4,9,7,1,54%,2,0,4,479,399,83%,0,0
157068,2019-09-22T13:00:00+00:00,"Stuart Attwell, England",Selhurst Park,London,Crystal Palace,Wolves,1,1,Draw,4,5,13,4,6,7,7,6,1,49%,2,0,3,456,359,79%,4,3,13,6,7,6,10,7,0,51%,3,1,4,442,344,78%,0,0
157065,2019-09-22T15:30:00+00:00,"Jonathan Moss, England",Emirates Stadium,London,Arsenal,Aston Villa,3,2,Home Win,6,10,21,5,14,7,13,9,2,58%,7,1,7,465,396,85%,9,3,14,2,8,6,15,4,0,42%,1,0,3,326,265,81%,0,0
157067,2019-09-22T15:30:00+00:00,"Michael Oliver, England",Stamford Bridge,London,Chelsea,Liverpool,1,2,Away Win,2,8,13,3,7,6,8,6,7,55%,3,0,1,492,394,80%,3,2,6,1,4,2,13,4,1,45%,3,0,1,415,303,73%,0,0
157082,2019-09-28T11:30:00+00:00,"Anthony Taylor, England",Bramall Lane,Sheffield,Sheffield Utd,Liverpool,0,1,Away Win,2,6,12,4,11,1,8,6,0,29%,1,0,3,291,192,66%,4,9,16,3,8,8,4,5,1,71%,1,0,2,708,609,86%,0,0
157075,2019-09-28T14:00:00+00:00,"Stuart Attwell, England",Vitality Stadium,"Bournemouth, Dorset",Bournemouth,West Ham,2,2,Draw,5,4,13,4,11,2,7,6,2,49%,3,0,4,456,349,77%,6,4,17,7,11,6,8,6,2,51%,1,0,3,478,369,77%,0,0
157084,2019-09-28T14:00:00+00:00,"Paul Tierney, England",Molineux Stadium,"Wolverhampton, West Midlands",Wolves,Watford,2,0,Home Win,2,4,6,0,6,0,5,1,2,39%,0,0,5,404,311,77%,5,6,14,3,10,4,6,6,1,61%,1,0,1,628,530,84%,0,0
157083,2019-09-28T14:00:00+00:00,"Graham Scott, England",Tottenham Hotspur Stadium,London,Tottenham,Southampton,2,1,Home Win,4,3,9,2,6,3,5,6,1,41%,2,1,5,369,290,79%,6,6,14,2,8,6,16,6,1,59%,2,0,2,518,447,86%,0,0
157077,2019-09-28T14:00:00+00:00,"Chris Kavanagh, England",Stamford Bridge,London,Chelsea,Brighton,2,0,Home Win,10,4,24,10,16,8,5,5,1,52%,2,0,1,568,487,86%,1,4,8,3,5,3,13,2,2,48%,3,0,8,502,414,82%,0,0
157078,2019-09-28T14:00:00+00:00,"Jonathan Moss, England",Selhurst Park,London,Crystal Palace,Norwich,2,0,Home Win,3,6,15,6,12,3,14,5,2,44%,3,0,3,415,333,80%,3,2,10,5,7,3,10,5,1,56%,1,0,1,524,438,84%,0,0
157076,2019-09-28T14:00:00+00:00,"Lee Mason, England",Villa Park,Birmingham,Aston Villa,Burnley,2,2,Draw,3,7,16,6,6,10,10,7,2,60%,1,0,1,416,324,78%,3,4,10,3,8,2,16,3,0,40%,4,0,1,281,177,63%,0,0
157079,2019-09-28T16:30:00+00:00,"Michael Oliver, England",Goodison Park,Liverpool,Everton,Manchester City,1,3,Away Win,8,3,12,1,10,2,4,5,2,37%,2,0,5,358,294,82%,8,7,19,4,13,6,8,2,5,63%,2,0,6,619,564,91%,0,0
157080,2019-09-29T15:30:00+00:00,"Craig Pawson, England",King Power Stadium,"Leicester, Leicestershire",Leicester,Newcastle,5,0,Home Win,5,5,13,3,9,4,12,9,0,68%,1,0,0,724,645,89%,0,3,3,0,1,2,9,0,1,32%,1,1,1,328,252,77%,0,0
157081,2019-09-30T19:00:00+00:00,"Kevin Friend, England",Old Trafford,Manchester,Manchester United,Arsenal,1,1,Draw,4,6,16,6,4,12,18,8,2,54%,4,0,4,440,350,80%,5,3,10,2,7,3,13,7,4,46%,2,0,3,364,283,78%,0,0
157086,2019-10-05T11:30:00+00:00,"Jonathan Moss, England",The American Express Community Stadium,"Falmer, East Sussex",Brighton,Tottenham,3,0,Home Win,6,4,17,7,10,7,11,4,1,47%,2,0,3,494,405,82%,3,3,8,2,3,5,7,4,1,53%,1,0,3,547,452,83%,0,0
157093,2019-10-05T14:00:00+00:00,"Andre Marriner, England",Vicarage Road,Watford,Watford,Sheffield Utd,0,0,Draw,2,4,8,2,5,3,7,7,2,39%,0,0,3,360,252,70%,3,4,9,2,5,4,6,7,3,61%,2,0,2,554,455,82%,0,0
157088,2019-10-05T14:00:00+00:00,"Chris Kavanagh, England",Anfield,Liverpool,Liverpool,Leicester,2,1,Home Win,8,6,18,4,14,4,9,4,3,50%,1,0,0,494,386,78%,1,1,2,0,1,1,17,6,2,50%,4,0,6,478,355,74%,0,0
157087,2019-10-05T14:00:00+00:00,"Graham Scott, England",Turf Moor,Burnley,Burnley,Everton,1,0,Home Win,3,4,9,2,6,3,5,7,5,40%,2,0,2,327,215,66%,2,4,11,5,9,2,12,9,1,60%,3,1,2,471,362,77%,0,0
157091,2019-10-05T14:00:00+00:00,"Andy Madley, England",Carrow Road,"Norwich, Norfolk",Norwich,Aston Villa,1,5,Away Win,5,8,21,8,15,6,14,10,0,57%,1,0,7,472,383,81%,12,7,22,3,12,10,17,6,1,43%,3,0,4,345,268,78%,0,0
157094,2019-10-05T16:30:00+00:00,"Michael Oliver, England",London Stadium,London,West Ham,Crystal Palace,1,2,Away Win,4,4,9,1,8,1,11,2,2,51%,3,0,1,519,426,82%,4,1,7,2,5,2,7,2,4,49%,2,0,4,489,395,81%,0,0
157092,2019-10-06T13:00:00+00:00,"Paul Tierney, England",St. Mary's Stadium,"Southampton, Hampshire",Southampton,Chelsea,1,4,Away Win,3,6,10,1,6,4,8,3,1,43%,0,0,3,400,275,69%,7,4,13,2,7,6,15,4,0,57%,1,0,1,528,395,75%,0,0
157085,2019-10-06T13:00:00+00:00,"Martin Atkinson, England",Emirates Stadium,London,Arsenal,Bournemouth,1,0,Home Win,2,6,12,4,9,3,12,14,0,52%,1,0,2,443,334,75%,2,7,10,1,5,5,6,5,0,48%,2,0,1,403,310,77%,0,0
157089,2019-10-06T13:00:00+00:00,"Craig Pawson, England",Etihad Stadium,Manchester,Manchester City,Wolves,0,2,Away Win,2,6,18,10,9,9,11,9,1,76%,5,0,0,714,634,89%,2,3,7,2,4,3,14,1,2,24%,2,0,2,230,149,65%,0,0
157090,2019-10-06T15:30:00+00:00,"Mike Dean, England",St. James' Park,Newcastle upon Tyne,Newcastle,Manchester United,1,0,Home Win,2,5,12,5,4,8,12,4,1,31%,3,0,3,281,204,73%,3,5,12,4,7,5,10,6,2,69%,3,0,1,594,512,86%,0,0
157099,2019-10-19T11:30:00+00:00,"Paul Tierney, England",Goodison Park,Liverpool,Everton,West Ham,2,0,Home Win,10,5,19,4,12,7,15,11,9,51%,2,0,4,390,290,74%,4,3,8,1,5,3,15,2,4,49%,2,0,9,384,264,69%,0,0
157095,2019-10-19T14:00:00+00:00,"Lee Mason, England",Vitality Stadium,"Bournemouth, Dorset",Bournemouth,Norwich,0,0,Draw,2,6,11,3,5,6,8,6,2,47%,1,0,1,407,326,80%,1,6,10,3,3,7,11,7,2,53%,3,0,2,469,378,81%,0,0
157104,2019-10-19T14:00:00+00:00,"Peter Bankes, England",Molineux Stadium,"Wolverhampton, West Midlands",Wolves,Southampton,1,1,Draw,1,3,4,0,2,2,10,1,1,57%,3,0,4,511,399,78%,5,5,14,4,12,2,17,3,2,43%,2,0,0,385,288,75%,0,0
157100,2019-10-19T14:00:00+00:00,"Jonathan Moss, England",King Power Stadium,"Leicester, Leicestershire",Leicester,Burnley,2,1,Home Win,3,9,19,7,10,9,4,9,2,64%,0,0,3,556,466,84%,4,3,13,6,8,5,10,4,3,36%,3,0,1,303,218,72%,0,0
157103,2019-10-19T14:00:00+00:00,"Chris Kavanagh, England",Tottenham Hotspur Stadium,London,Tottenham,Watford,1,1,Draw,2,3,12,7,7,5,5,11,5,69%,4,0,1,686,592,86%,2,2,7,3,4,3,9,2,1,31%,3,0,1,313,206,66%,0,0
157097,2019-10-19T14:00:00+00:00,"Andre Marriner, England",Stamford Bridge,London,Chelsea,Newcastle,1,0,Home Win,8,4,16,4,15,1,9,11,1,71%,2,0,0,634,552,87%,0,4,5,1,3,2,12,0,1,29%,1,0,6,258,172,67%,0,0
157096,2019-10-19T14:00:00+00:00,"David Coote, England",Villa Park,Birmingham,Aston Villa,Brighton,2,1,Home Win,8,8,24,8,16,8,9,7,1,48%,1,0,4,441,371,84%,5,8,20,7,11,9,17,5,0,52%,4,1,6,475,398,84%,0,0
157098,2019-10-19T16:30:00+00:00,"Anthony Taylor, England",Selhurst Park,London,Crystal Palace,Manchester City,0,2,Away Win,2,3,7,2,5,2,8,1,3,28%,1,0,9,276,207,75%,10,8,21,3,17,4,10,8,2,72%,1,0,2,682,595,87%,0,0
157101,2019-10-20T15:30:00+00:00,"Martin Atkinson, England",Old Trafford,Manchester,Manchester United,Liverpool,1,1,Draw,2,4,7,1,3,4,6,3,4,32%,0,0,3,299,199,67%,4,4,10,2,6,4,14,1,1,68%,1,0,1,652,547,84%,0,0
157102,2019-10-21T19:00:00+00:00,"Mike Dean, England",Bramall Lane,Sheffield,Sheffield Utd,Arsenal,1,0,Home Win,2,5,8,1,5,3,10,7,1,31%,4,0,3,287,205,71%,3,4,9,2,5,4,12,12,1,69%,4,0,1,633,548,87%,0,0
